Month,#Passengers,T,T^2,month ,,,,,,,,
1949-01,112,1,1,1,,,,,,,,
1949-02,118,2,4,2,,,,,,,,
1949-03,132,3,9,3,,Time Series ForeCasting ,,,,,,Accuracy (RMSE)
1949-04,129,4,16,4,`,Level ,Equation ,based on average ,,,,269.6976
1949-05,121,5,25,5,,Trend ,,,,,,
1949-06,135,6,36,6,,Linear Trend ,Equation ,yt = b0+b1*t,,,,30
1949-07,148,7,49,7,,Quadratic Trend ,Equation ,yt = b0+b1*t+b2*t,,,,29.40
1949-08,148,8,64,8,,Exdponential Trend ,Equation ,yt = a*e^(b1t)=ln(yt) = b0+b1*t,,,,
1949-09,136,9,81,9,,Seasonality,,,,,,
1949-10,119,10,100,10,,Additive Seasonality ,Equation ,yt = b0+b1D1+b2D2+b3D3+b4D4+b5D5…...+b11D11,,,,
1949-11,104,11,121,11,,Multiplicative Seasonality ,Equation ,yt = b0*e^(b1D1+b2D2+b3D3+b4D4+b5D5…...+b11D11),,,,
1949-12,118,12,144,12,,Multiple ,,,,,,
1950-01,115,13,169,1,,Trend + Seasonality,Equation ,,,,,
1950-02,126,14,196,2,,,,,,,,
1950-03,141,15,225,3,,,,,,,,
1950-04,135,16,256,4,,,,,,,,
1950-05,125,17,289,5,,,,,,,,
1950-06,149,18,324,6,,,,,,,,
1950-07,170,19,361,7,,,,,,,,
1950-08,170,20,400,8,,,,,,,,
1950-09,158,21,441,9,,,,,,,,
1950-10,133,22,484,10,,,,,,,,
1950-11,114,23,529,11,,,,,,,,
1950-12,140,24,576,12,,,,,,,,
1951-01,145,25,625,1,,,,,,,,
1951-02,150,26,676,2,,,,,,,,
1951-03,178,27,729,3,,,,,,,,
1951-04,163,28,784,4,,,,,,,,
1951-05,172,29,841,5,,,,,,,,
1951-06,178,30,900,6,,,,,,,,
1951-07,199,31,961,7,,,,,,,,
1951-08,199,32,1024,8,,,,,,,,
1951-09,184,33,1089,9,,,,,,,,
1951-10,162,34,1156,10,,,,,,,,
1951-11,146,35,1225,11,,,,,,,,
1951-12,166,36,1296,12,,,,,,,,
1952-01,171,37,1369,1,,,,,,,,
1952-02,180,38,1444,2,,,,,,,,
1952-03,193,39,1521,3,,,,,,,,
1952-04,181,40,1600,4,,,,,,,,
1952-05,183,41,1681,5,,,,,,,,
1952-06,218,42,1764,6,,,,,,,,
1952-07,230,43,1849,7,,,,,,,,
1952-08,242,44,1936,8,,,,,,,,
1952-09,209,45,2025,9,,,,,,,,
1952-10,191,46,2116,10,,,,,,,,
1952-11,172,47,2209,11,,,,,,,,
1952-12,194,48,2304,12,,,,,,,,
1953-01,196,49,2401,1,,,,,,,,
1953-02,196,50,2500,2,,,,,,,,
1953-03,236,51,2601,3,,,,,,,,
1953-04,235,52,2704,4,,,,,,,,
1953-05,229,53,2809,5,,,,,,,,
1953-06,243,54,2916,6,,,,,,,,
1953-07,264,55,3025,7,,,,,,,,
1953-08,272,56,3136,8,,,,,,,,
1953-09,237,57,3249,9,,,,,,,,
1953-10,211,58,3364,10,,,,,,,,
1953-11,180,59,3481,11,,,,,,,,
1953-12,201,60,3600,12,,,,,,,,
1954-01,204,61,3721,1,,,,,,,,
1954-02,188,62,3844,2,,,,,,,,
1954-03,235,63,3969,3,,,,,,,,
1954-04,227,64,4096,4,,,,,,,,
1954-05,234,65,4225,5,,,,,,,,
1954-06,264,66,4356,6,,,,,,,,
1954-07,302,67,4489,7,,,,,,,,
1954-08,293,68,4624,8,,,,,,,,
1954-09,259,69,4761,9,,,,,,,,
1954-10,229,70,4900,10,,,,,,,,
1954-11,203,71,5041,11,,,,,,,,
1954-12,229,72,5184,12,,,,,,,,
1955-01,242,73,5329,1,,,,,,,,
1955-02,233,74,5476,2,,,,,,,,
1955-03,267,75,5625,3,,,,,,,,
1955-04,269,76,5776,4,,,,,,,,
1955-05,270,77,5929,5,,,,,,,,
1955-06,315,78,6084,6,,,,,,,,
1955-07,364,79,6241,7,,,,,,,,
1955-08,347,80,6400,8,,,,,,,,
1955-09,312,81,6561,9,,,,,,,,
1955-10,274,82,6724,10,,,,,,,,
1955-11,237,83,6889,11,,,,,,,,
1955-12,278,84,7056,12,,,,,,,,
1956-01,284,85,7225,1,,,,,,,,
1956-02,277,86,7396,2,,,,,,,,
1956-03,317,87,7569,3,,,,,,,,
1956-04,313,88,7744,4,,,,,,,,
1956-05,318,89,7921,5,,,,,,,,
1956-06,374,90,8100,6,,,,,,,,
1956-07,413,91,8281,7,,,,,,,,
1956-08,405,92,8464,8,,,,,,,,
1956-09,355,93,8649,9,,,,,,,,
1956-10,306,94,8836,10,,,,,,,,
1956-11,271,95,9025,11,,,,,,,,
1956-12,306,96,9216,12,,,,,,,,
1957-01,315,97,9409,1,,,,,,,,
1957-02,301,98,9604,2,,,,,,,,
1957-03,356,99,9801,3,,,,,,,,
1957-04,348,100,10000,4,,,,,,,,
1957-05,355,101,10201,5,,,,,,,,
1957-06,422,102,10404,6,,,,,,,,
1957-07,465,103,10609,7,,,,,,,,
1957-08,467,104,10816,8,,,,,,,,
1957-09,404,105,11025,9,,,,,,,,
1957-10,347,106,11236,10,,,,,,,,
1957-11,305,107,11449,11,,,,,,,,
1957-12,336,108,11664,12,,,,,,,,
1958-01,340,109,11881,1,,,,,,,,
1958-02,318,110,12100,2,,,,,,,,
1958-03,362,111,12321,3,,,,,,,,
1958-04,348,112,12544,4,,,,,,,,
1958-05,363,113,12769,5,,,,,,,,
1958-06,435,114,12996,6,,,,,,,,
1958-07,491,115,13225,7,,,,,,,,
1958-08,505,116,13456,8,,,,,,,,
1958-09,404,117,13689,9,,,,,,,,
1958-10,359,118,13924,10,,,,,,,,
1958-11,310,119,14161,11,,,,,,,,
1958-12,337,120,14400,12,,,,,,,,
1959-01,360,121,14641,1,,,,,,,,
1959-02,342,122,14884,2,,,,,,,,
1959-03,406,123,15129,3,,,,,,,,
1959-04,396,124,15376,4,,,,,,,,
1959-05,420,125,15625,5,,,,,,,,
1959-06,472,126,15876,6,,,,,,,,
1959-07,548,127,16129,7,,,,,,,,
1959-08,559,128,16384,8,,,,,,,,
1959-09,463,129,16641,9,,,,,,,,
1959-10,407,130,16900,10,,,,,,,,
1959-11,362,131,17161,11,,,,,,,,
1959-12,405,132,17424,12,,,,,,,,
1960-01,417,133,17689,1,,,,,,,,
1960-02,391,134,17956,2,,,,,,,,
1960-03,419,135,18225,3,,,,,,,,
1960-04,461,136,18496,4,,,,,,,,
1960-05,472,137,18769,5,,,,,,,,
1960-06,535,138,19044,6,,,,,,,,
1960-07,622,139,19321,7,,,,,,,,
1960-08,606,140,19600,8,,,,,,,,
1960-09,508,141,19881,9,,,,,,,,
1960-10,461,142,20164,10,,,,,,,,
1960-11,390,143,20449,11,,,,,,,,
1960-12,432,144,20736,12,,,,,,,,
